Episode 707: The One With Ross's Library Book," Monica, Chandler, and Phoebe's, Chandler and Monica are sitting at the kitchen
table and are still trying to decide what to do about Janice.","[['Chandler', 'Say again?'], ['Monica', 'That’s right. That’s right. And that is why you can’t\nstay here tonight. And probably why you shouldn’t come to the wedding.'], ['Chandler', 'Feelings, such strong feelings.'], ['Monica', 'I mean, I realize that his feelings may never completely go away, but you\ncan.']]",1
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Monica is in the kitchen, Joey, Rachel, and
Phoebe are sitting around the table writing on notepads, while Chandler is looking over
their shoulders.","[['Chandler', ""Now, that's a lot harder than it sounds. You always forget at least\none, or in some cases... fourteen (looks over to Monica).""], ['Monica', ""It's a stupid game and I wasn't playing against other people, so\ntechnically I didn't lose.""]]",0
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's. Ross is sitting in the couch doing Chandler's
game. Chandler is sitting in his barcalounger. The girls are in the kitchen.","[['Monica', ""All right, I'm out of oven space. I'm gonna turn on Joey's. Please,\nwatch him! Do not let Joey eat any of the food!""], ['Chandler', 'I am only one man! (Monica heads out) Okay Ross, time is up!']]",0
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's. Ross is sitting in the couch doing Chandler's
game. Chandler is sitting in his barcalounger. The girls are in the kitchen.","[['Monica', 'Chandler? Can you give me a hand? (Grabs her jacket)'], ['Chandler', 'Sure, and Joey; do not let Ross look at any of the maps or the globe\nin your apartment.']]",0
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Ross is still doing his list. Rachel and Joey
are feeding the dog as the phone rings.","[['Monica', ""Ross’s apartment is nice! How come we don't hang out here more\noften?""], ['Chandler', ""I don't know. Maybe it's because it smells a little weird. It's like\nold pumpkins or something.""], ['Monica', ""That's my pie!""], ['Chandler', 'Which smells delicious!'], ['Monica', 'Uh-oh! Uh-oh!'], ['Chandler', 'What?'], ['Monica', 'We left Joey alone with the food! (Walks towards the window and looks\nout) Yep! Yep, I knew it! There he is... feeding stuffing to a dog!']]",-1
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Ross is still doing his list. Rachel and Joey
are feeding the dog as the phone rings.","[['Monica', ""Phoebe, there's a dog sitting on my couch!""], ['Chandler', ""Tell her, I'm allergic, and I will sue!""]]",-1
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Ross is still doing his list. Rachel and Joey
are feeding the dog as the phone rings.","[['Monica', 'Oooh, I wish she could stay here, but Chandler is allergic!'], ['Chandler', ""Extremely allergic, okay? If I'm anywhere near a dog for more than 5\nminutes, my throat will just close up!""]]",0
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Ross is still doing his list. Rachel and Joey
are feeding the dog as the phone rings.","[['Chandler', '(gasping) Really?'], ['Monica', ""Chandler, if that dog's been here that long, and you haven't had a\nreaction, maybe you're not allergic to this dog?""], ['Chandler', 'Well, it still has to go, right?']]",0
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's, Ross is still doing his list. Rachel and Joey
are feeding the dog as the phone rings.","[['Monica', ""Don't do what?""], ['Chandler', '(to Joey) I have to! Okay? It\'s time! (Joey shrugs as if to say,\n""Do what you have to do"") Okay, I hate dogs.']]",-1
Episode 708: The One Where Chandler Doesn't Like Dogs," Monica, Chandler, and Phoebe's. Ross lays a lot of small papers, shaped like
the U.S. states onto the floor making a map with the states. Phoebe enters","[['Monica', 'Hi, honey.'], ['Chandler', ""Please, please, please, don't be mad at me.""], ['Monica', 'What? Why, why would...']]",0
